"grp"	"endpt"	"status"
"PBS/Tg 197"	143.535	1
"PBS/Tg 197"	108.51	1
"PBS/Tg 197"	124.575	1
"PBS/Tg 197"	91.6	1
"PBS/Tg 197"	161.575	1
"PBS/Tg 197"	82.5	0
"PBS/Tg 197"	82.5	0
"PBS/Tg 197"	106.4	1
"1mg/kg/Tg 197"	116.515	1
"1mg/kg/Tg 197"	207.785	1
"1mg/kg/Tg 197"	109.94	1
"1mg/kg/Tg 197"	168.595	1
"1mg/kg/Tg 197"	166.99	1
"1mg/kg/Tg 197"	82.5	0
"1mg/kg/Tg 197"	135.34	1
"1mg/kg/Tg 197"	82.5	0
"3mg/kg/Tg 197"	82.5	0
"3mg/kg/Tg 197"	82.5	0
"3mg/kg/Tg 197"	102.525	1
"3mg/kg/Tg 197"	82.5	0
"3mg/kg/Tg 197"	82.5	0
"3mg/kg/Tg 197"	82.5	0
"3mg/kg/Tg 197"	82.5	0
"3mg/kg/Tg 197"	82.5	0
"10 mg/kg/Tg 197"	97.31	1
"10 mg/kg/Tg 197"	82.5	0
"10 mg/kg/Tg 197"	82.5	0
"10 mg/kg/Tg 197"	82.5	0
"10 mg/kg/Tg 197"	82.5	0
"10 mg/kg/Tg 197"	82.5	0
"10 mg/kg/Tg 197"	82.5	0
"30 mg/kg/Tg 197"	74.94	0
"30 mg/kg/Tg 197"	75.53	1
"30 mg/kg/Tg 197"	88.94	1
"30 mg/kg/Tg 197"	74.94	0
"30 mg/kg/Tg 197"	102.805	1
"30 mg/kg/Tg 197"	95.71	1
"30 mg/kg/Tg 197"	80.91	1
"30 mg/kg/Tg 197"	74.94	0
"PBS/WT"	74.94	0
"PBS/WT"	76.68	1
"PBS/WT"	78.86	1
"PBS/WT"	99.63	1
"PBS/WT"	74.94	0
"PBS/WT"	77.8	1
